influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
455,24.8,21.2,30.3,2.2,80,957.1,0.0,14.0,34.0,1.606,53.0,73.0,95.0,80.0
398,27.5,23.1,31.9,2.6,76,955.1,0.0,14.0,40.0,1.926,103.0,137.0,124.0,135.0
360,28.6,25.1,33.2,1.7,80,953.8,0.0,13.0,39.0,1.763,97.0,168.0,122.0,128.0
394,30.0,25.9,34.0,2.3,73,953.6,0.0,15.0,36.0,1.638,90.0,165.0,133.0,135.0
209,29.6,26.3,33.0,3.3,68,956.4,0.0,16.0,27.0,0.899,33.0,73.0,82.0,78.0
283,27.2,24.4,32.2,3.0,70,958.9,8.0,16.0,33.0,0.892,22.0,64.0,95.0,90.0
529,24.8,21.3,27.4,1.2,78,959.7,16.7,15.0,38.0,1.048,18.0,42.0,50.0,48.0
362,26.2,20.8,31.8,1.5,76,954.7,0.0,17.0,47.0,1.166,48.0,98.0,158.0,188.0
466,28.7,23.3,35.7,1.7,66,952.3,0.0,17.0,50.0,1.169,66.0,147.0,135.0,167.0
348,25.6,21.2,31.9,2.6,79,955.1,8.4,13.0,35.0,1.065,34.0,74.0,104.0,94.0
346,27.8,23.5,32.5,2.2,78,958.1,0.0,14.0,30.0,1.012,42.0,88.0,106.0,80.0
266,29.1,24.6,33.9,2.4,73,958.0,0.0,15.0,35.0,1.038,52.0,99.0,99.0,86.0
273,30.7,25.9,35.8,2.2,63,955.0,0.0,15.0,38.0,1.088,49.0,99.0,112.0,98.0
463,31.4,25.5,35.9,1.8,60,951.2,0.0,14.0,39.0,0.964,45.0,88.0,106.0,90.0
382,31.7,26.9,36.7,2.1,61,952.0,0.0,14.0,44.0,0.986,55.0,121.0,115.0,95.0
433,25.2,21.3,33.3,3.0,73,958.4,3.5,14.0,27.0,0.747,21.0,65.0,47.0,58.0
334,22.8,20.4,27.1,2.0,84,961.0,4.9,16.0,38.0,0.947,23.0,45.0,55.0,48.0
372,25.8,19.9,31.3,1.5,77,957.9,0.0,16.0,43.0,1.149,45.0,89.0,100.0,87.0
223,28.9,23.1,34.4,2.2,68,956.6,0.0,17.0,51.0,1.423,63.0,138.0,123.0,120.0
281,30.4,26.2,35.4,2.4,63,958.4,0.1,17.0,36.0,1.008,39.0,89.0,91.0,95.0
437,27.7,23.3,32.6,3.4,68,958.3,0.0,16.0,32.0,1.053,34.0,68.0,87.0,65.0
318,29.8,24.9,34.7,3.0,66,956.4,0.0,18.0,37.0,1.175,47.0,104.0,115.0,99.0
465,31.1,26.4,36.6,3.5,64,955.3,0.0,15.0,28.0,1.006,46.0,95.0,93.0,73.0
329,32.9,26.7,38.0,3.2,53,955.0,0.0,13.0,24.0,0.862,44.0,88.0,109.0,96.0
262,32.1,28.8,37.9,1.3,55,955.7,0.0,20.0,38.0,0.87,55.0,103.0,126.0,127.0
200,31.0,27.2,36.3,1.5,57,958.2,0.0,23.0,47.0,0.946,54.0,135.0,118.0,115.0
250,29.7,24.7,34.4,3.1,53,959.8,0.0,24.0,48.0,1.138,62.0,157.0,162.0,145.0
445,29.3,25.6,33.7,5.4,48,959.9,0.0,26.0,34.0,1.008,48.0,121.0,140.0,115.0
431,28.4,24.0,32.7,4.2,49,960.1,0.0,31.0,33.0,1.075,60.0,120.0,156.0,140.0
460,28.6,24.0,33.6,3.3,56,959.2,0.0,24.0,39.0,1.186,94.0,149.0,164.0,143.0
351,29.6,25.3,34.5,3.5,58,958.5,0.0,22.0,41.0,1.123,86.0,146.0,141.0,130.0
386,28.9,25.3,33.3,3.9,55,960.2,0.0,40.0,38.0,1.285,141.0,200.0,187.0,193.0
291,28.4,25.0,32.0,2.4,58,961.3,0.0,36.0,51.0,1.674,164.0,249.0,149.0,214.0
235,27.9,24.0,32.4,3.0,53,960.9,0.0,37.0,44.0,1.514,91.0,159.0,163.0,140.0
496,27.6,23.0,32.5,3.8,58,958.4,0.0,42.0,46.0,1.959,98.0,168.0,170.0,188.0
404,28.0,26.4,30.5,3.3,64,956.0,0.0,22.0,45.0,1.283,87.0,160.0,101.0,115.0
